pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
474.586416,215.815471,230.412597,242.965064,338.376464,244.838896,445.464181,156.797954,413.719844,323.024576,340.544112,308.331568,302.056299,214.505855
477.639788,215.997566,229.405179,242.965064,335.670250,247.403228,444.349562,159.822474,413.719844,323.856884,339.346415,312.045798,300.877187,217.400659
479.518787,214.722900,228.061954,244.266793,333.866106,248.568833,443.234943,162.991018,413.719844,326.076370,339.346415,312.974355,300.091112,219.533672
482.807034,213.812425,227.054535,245.568522,332.362654,252.065649,442.120323,164.863340,414.077694,329.405600,339.346415,316.688586,299.698075,220.600179
484.216283,213.630330,226.047116,248.953017,330.558511,253.231255,442.306093,166.015537,411.930595,332.457394,339.346415,319.938537,299.305038,221.819044
486.799905,212.719855,224.368085,252.337512,327.852296,254.396860,441.934553,167.743834,411.930595,333.844573,338.747566,321.795652,298.715482,223.952058
488.678904,211.809379,223.696473,254.680624,326.348843,258.359918,441.005704,169.184082,412.010000,335.980000,338.148717,326.902719,298.518963,225.780355
489.383528,211.445189,223.024860,256.503045,325.747462,259.059281,440.634164,171.488478,412.040000,337.950000,338.148717,328.295555,298.518963,227.303936
492.436901,213.994520,222.017441,258.065119,323.642629,261.856734,439.519545,174.657022,412.210000,339.990000,337.549869,331.081228,298.518963,229.741666
495.020523,211.445189,220.002604,259.627194,322.740557,262.089855,437.476076,178.833740,412.030000,341.940000,336.352172,333.866900,298.518963,230.655814
495.490273,209.806333,219.330991,259.887540,320.635723,263.255461,439.705315,178.689715,412.090000,344.020000,335.753323,335.259737,298.125926,232.179395
495.490273,208.349573,219.330991,260.408231,319.733652,264.421066,439.891085,181.426185,412.020000,345.980000,335.154474,336.652573,297.929407,234.312409
494.550774,206.164432,217.303223,263.531568,319.432961,267.451640,438.033386,184.162655,412.120000,347.990000,334.555626,339.902524,296.160739,235.988348
493.846149,205.436052,216.812982,265.051875,318.530890,270.715335,438.033386,186.179001,412.260000,350.070000,335.154474,342.688197,296.160739,236.445422
493.846149,205.436052,216.812982,266.192106,317.328128,273.046545,437.579140,188.699375,412.010000,352.010000,335.753323,344.081033,296.135357,237.160757
490.792777,202.340435,216.812982,269.042683,315.824675,273.745909,436.013474,189.989078,412.150000,354.000000,335.753323,345.473870,294.970802,238.424765
488.444029,202.340435,216.812982,270.182914,313.419151,275.843998,436.992015,192.947809,418.589961,356.106968,335.753323,346.866706,293.806247,240.772208
482.337284,201.612055,216.812982,270.943068,311.915698,277.942088,435.328496,193.554728,416.422245,358.591332,335.753323,348.723821,292.874603,242.216789
481.632660,201.065770,216.567861,272.653414,310.111555,278.641451,436.404891,195.830675,417.835973,360.710348,335.753323,350.116657,292.874603,244.022515
482.102409,201.612055,215.587379,274.173722,306.503269,284.003236,436.050532,198.709822,417.741724,361.733321,335.753323,351.509494,291.942959,246.369958
480.458286,201.612055,215.097138,275.313953,306.202578,285.635083,436.643121,201.532014,418.310000,363.380000,335.753323,353.366609,290.079671,248.536829
